Model,Horizon,MSE,MAE,RMSE,R2,MSE_USD,MAE_USD,RMSE_USD
DLinear,5,0.091279164,0.07107917,0.3021244,0.995569,231.85080179033383,2.754960587690625,15.226647752881586
DLinear,20,0.30414835,0.1336772,0.55149645,0.9851614,753.6185909643208,5.2461508496052405,27.45211450807243
DLinear,60,0.74591917,0.2273758,0.8636661,0.9631825,1899.1741485208115,8.931232923126531,43.57951523962619
DLinear,120,1.341526,0.31917566,1.1582427,0.93273115,3473.8826672590044,12.876653584190446,58.93965275821537
DLinear,240,2.555262,0.46485496,1.5985187,0.868567,6151.974404793908,18.556990922888527,78.43452304179525
iTransformer,20,0.5090599656105042,0.1889889985322952,0.7134844064712524,0.9751643538475036,1526.3809429049206,8.190890396756554,39.06892554070205
iTransformer,240,6.97791862487793,0.7070572972297668,2.64157509803772,0.6410821676254272,24539.00805125565,32.76089567059589,156.64931551480092
iTransformer,5,0.1625414341688156,0.1035635396838188,0.403164267539978,0.9921096563339232,393.1008869353246,4.2275526013616025,19.82677197466407
iTransformer,60,1.7192168235778809,0.3382835388183594,1.31118905544281,0.9151418805122375,5094.560719733168,14.667409471149607,71.37619154685383
iTransformer,120,2.5938587188720703,0.4534717500209808,1.6105461120605469,0.8699347376823425,8252.081496791387,19.839602541839888,90.84096816300114
GCFormer,20,0.42892986536026,0.1671779304742813,0.6549273729324341,0.979073703289032,1167.5468747187554,6.956594730393193,34.16938505034522
GCFormer,240,3.644253253936768,0.5900774598121643,1.9089927673339844,0.812553346157074,9958.145105369184,24.98573256075668,99.79050608835084
GCFormer,5,0.1212020739912986,0.0865068733692169,0.3481408953666687,0.9941164255142212,336.9813444585883,3.644153527375409,18.35705162760589
GCFormer,60,1.5684555768966677,0.309350311756134,1.2523800134658811,0.9225832223892212,3946.598202094538,13.368817869265463,62.82195636952528
GCFormer,120,2.136509895324707,0.4093700051307678,1.46168053150177,0.8928678035736084,5454.316537228753,16.855173398576905,73.85334479377866
