Model,Method,Horizon,Strategy_Sharpe_pooled_overlap,Strategy_Sharpe_pooled_nonoverlap,Strategy_Sharpe_mean_per_stock,Strategy_Sharpe_median_per_stock,Strategy_Sharpe_std_per_stock,Strategy_MDD_pooled,Strategy_MDD_median_per_stock,Strategy_MDD_mean_per_stock,HitRate_mean_per_stock,Naive_Sharpe_pooled_overlap,Naive_Sharpe_pooled_nonoverlap,Naive_Sharpe_median_per_stock,Naive_MDD_pooled,Naive_MDD_median_per_stock,N_Test_Samples,N_Stocks_Used
PatchTST,global,5,0.9805615355946525,0.9944242146405577,1.3134028639936295,1.0835402378245191,1.0028905910278094,0.9904220777636467,0.45897240344553447,0.489445866288479,0.5736358120264068,0.34518224144416004,0.34759428662268615,0.38887905458197364,0.9997737649244308,0.5979236359709557,188279,49
PatchTST,global,20,0.04695170271692219,0.07893550931987581,0.16896555330798907,0.16689291507280246,0.4691970227449863,0.9999999996650867,0.717534957415573,0.6755834715470987,0.5095685163748991,0.3463125647463728,0.34646129453255803,0.3909187107296134,0.9997869598617193,0.5778901028575437,187544,49
PatchTST,global,60,0.12932737303554998,0.13770994569726527,0.18579515534053406,0.1875016247889259,0.32481839915380895,0.9999986502802309,0.5799239897085802,0.6052244345141289,0.5352147684037162,0.33333562395175287,0.3367555574619022,0.3881642029383557,0.9997910892900058,0.5102381351283234,185584,49
PatchTST,global,120,0.1225023089665643,0.14773068984042886,0.18649568942806036,0.1479269709467384,0.31220594125491696,0.9999999993347716,0.5448450298443188,0.5820424100057796,0.5422648134385337,0.31929169633357185,0.33902003361752103,0.39452955387984623,0.9997728687598909,0.4659999726652492,182644,49
PatchTST,global,240,0.16262332681738087,0.19360740540388613,0.27354013626332135,0.2679476836336282,0.4811400663426935,0.9999999995853165,0.5651141207102348,0.5582483802730228,0.6076005245801528,0.2803968067213669,0.334521360958789,0.36142476208792446,0.9998670187574792,0.42188747968993917,176814,48
