stock_close_max,n_samples,mape_pct,model,method,horizon
30.885459899902344,2640,1.1085032761717044,PatchTST,global,5
184.58999633789062,1897,1.1258776061674183,PatchTST,global,5
117.75,2614,1.32222422355192,PatchTST,global,5
41.0,5995,1.3529240455045624,PatchTST,global,5
11.28125,7295,1.5773855873821814,PatchTST,global,5
75.5625,5008,1.606708465541346,PatchTST,global,5
80.45999908447266,1479,1.6112585641890442,PatchTST,global,5
25.75,5965,1.6372108929972138,PatchTST,global,5
58.4375,4215,1.6612288736386114,PatchTST,global,5
44.703548431396484,4546,1.6885401867320584,PatchTST,global,5
123.20999908447266,876,1.725741800428598,PatchTST,global,5
108.125,5012,1.8212561746026832,PatchTST,global,5
20.09375,7295,1.8495093728766872,PatchTST,global,5
59.5625,4255,1.9095466141715252,PatchTST,global,5
78.0,4601,1.9284293221406699,PatchTST,global,5
9.46875,4922,1.9355066700339218,PatchTST,global,5
17.70833396911621,5012,1.9542324111268394,PatchTST,global,5
46.3125,4256,1.965182620386631,PatchTST,global,5
42.125,6301,1.999550413873144,PatchTST,global,5
23.8700008392334,3514,2.095797335173195,PatchTST,global,5
20.125,5995,2.1179498224680215,PatchTST,global,5
14.550874710083008,7295,2.131654115087944,PatchTST,global,5
26.015398025512695,2791,2.165945680575779,PatchTST,global,5
24.783248901367188,2671,2.1865101550465393,PatchTST,global,5
26.125,5905,2.240239909389604,PatchTST,global,5
7.011218070983887,7295,2.2646462478415095,PatchTST,global,5
25.735807418823242,4786,2.2822690068588263,PatchTST,global,5
74.875,5012,2.3118604898269655,PatchTST,global,5
89.65625,3527,2.335041141129609,PatchTST,global,5
20.03125,6301,2.3754816721341996,PatchTST,global,5
66.22000122070312,1949,2.383099819780239,PatchTST,global,5
64.56999969482422,185,2.450109919625018,PatchTST,global,5
82.51000213623047,3558,2.5363711066635504,PatchTST,global,5
719.989990234375,1748,2.6066678148261087,PatchTST,global,5
50.70000076293945,1589,2.6475960722464573,PatchTST,global,5
499.6875,5417,2.6902036789616557,PatchTST,global,5
15.404823303222656,5012,2.7098558406022453,PatchTST,global,5
5.1495537757873535,4918,2.7761217555072113,PatchTST,global,5
939.8400268554688,1723,3.098442259878749,PatchTST,global,5
9.885000228881836,2630,3.2572751591480515,PatchTST,global,5
228.4499969482422,1808,3.594129990840285,PatchTST,global,5
62.95000076293945,1790,3.7289289972147595,PatchTST,global,5
96.5625,4480,3.9103873231002813,PatchTST,global,5
121.30000305175781,561,3.954076725814663,PatchTST,global,5
210.86000061035156,660,4.416575588058986,PatchTST,global,5
47.5,5012,4.506774324004353,PatchTST,global,5
150.08999633789062,2842,6.259633465764107,PatchTST,global,5
607.8067626953125,1929,7.529385988988981,PatchTST,global,5
286.0400085449219,1192,9.77514308326913,PatchTST,global,5
184.58999633789062,1882,2.089397459449095,PatchTST,global,20
30.885459899902344,2625,2.4068221818298072,PatchTST,global,20
41.0,5980,2.4426142093007606,PatchTST,global,20
117.75,2599,2.7320894310815733,PatchTST,global,20
25.75,5950,2.8688696590068647,PatchTST,global,20
75.5625,4993,2.8791217653252503,PatchTST,global,20
11.28125,7280,2.9392170488330196,PatchTST,global,20
58.4375,4200,3.113532567090702,PatchTST,global,20
44.703548431396484,4531,3.171679013637183,PatchTST,global,20
80.45999908447266,1464,3.1766682888110775,PatchTST,global,20
108.125,4997,3.29717369191382,PatchTST,global,20
123.20999908447266,861,3.467494976292905,PatchTST,global,20
20.09375,7280,3.493333540154337,PatchTST,global,20
59.5625,4240,3.551881508402376,PatchTST,global,20
17.70833396911621,4997,3.593328777518026,PatchTST,global,20
46.3125,4241,3.6002227744096693,PatchTST,global,20
9.46875,4907,3.6245574444753674,PatchTST,global,20
78.0,4586,3.6618292730557522,PatchTST,global,20
42.125,6286,3.711881408282589,PatchTST,global,20
23.8700008392334,3499,3.8087883910773246,PatchTST,global,20
20.125,5980,3.935326074162094,PatchTST,global,20
14.550874710083008,7280,3.996796131521443,PatchTST,global,20
26.125,5890,4.0918359690405675,PatchTST,global,20
24.783248901367188,2656,4.165002466358163,PatchTST,global,20
26.015398025512695,2776,4.17929563549999,PatchTST,global,20
74.875,4997,4.367062020426336,PatchTST,global,20
7.011218070983887,7280,4.533130139963645,PatchTST,global,20
89.65625,3512,4.573319951038152,PatchTST,global,20
66.22000122070312,1934,4.659319628248395,PatchTST,global,20
20.03125,6286,4.679070806834813,PatchTST,global,20
25.735807418823242,4771,4.689831738046062,PatchTST,global,20
82.51000213623047,3543,4.833360677750688,PatchTST,global,20
15.404823303222656,4997,5.274163215916404,PatchTST,global,20
719.989990234375,1733,5.354218822658707,PatchTST,global,20
64.56999969482422,170,5.470732645324096,PatchTST,global,20
5.1495537757873535,4903,5.753013650957305,PatchTST,global,20
499.6875,5402,5.94132452093226,PatchTST,global,20
50.70000076293945,1574,5.974588444017367,PatchTST,global,20
939.8400268554688,1708,6.3130233044165625,PatchTST,global,20
9.885000228881836,2615,6.557549194780031,PatchTST,global,20
228.4499969482422,1793,6.910428176550837,PatchTST,global,20
