Model,Method,Horizon,R2,MAE,RMSE,MAE_USD,RMSE_USD,DirAcc,Naive_R2,Naive_MAE,Naive_RMSE,Naive_MAE_USD,Naive_RMSE_USD,Const_DirAcc,Pct_Up,Pct_Down,PerStock_MeanMAPE,PerStock_MedianMAPE,PerStock_StdMAPE,PerStock_MinMAPE,PerStock_MaxMAPE,N_Stocks,N_Test_Samples
DLinear,global,5,0.9958302672722228,0.066303938627243,0.2930811857000747,2.5120078399572767,14.80608588679846,0.5175609719637345,0.9958956952147492,0.0647414922714233,0.2907727014882889,2.3841450133781903,14.636832735151907,0.5242177831834671,0.5242177831834671,0.4706217900031336,2.770652498867271,2.306701599425519,1.5458644734292992,1.1193322409242232,9.009539538354623,49,188279
DLinear,global,20,0.9857677234265207,0.1251542270183563,0.5401121783298413,4.803110011194811,26.987196839926412,0.5252896605147482,0.9857853705156427,0.1236106753349304,0.5397772266346431,4.613674850030936,26.76653607241634,0.5421106513671459,0.5421106513671459,0.4549377746022267,5.387744565973742,4.143186859719688,3.655194739459222,2.0332679429847693,19.98047640230293,49,187544
DLinear,global,60,0.9631347301458694,0.2195964455604553,0.864226018460913,8.465338049621788,43.67552452375485,0.5079775450013572,0.9625411702810412,0.2159917652606964,0.8711555698508572,8.143771107013771,43.52467731065202,0.5621299070322154,0.5621299070322154,0.4361051240049429,9.702379607150858,7.144568226943257,7.732229885246436,3.405439496285977,41.2651055256728,49,185584
DLinear,global,120,0.9327745007974912,0.3133497238159179,1.1578691847048872,12.074293910855165,57.8871419765949,0.516278088327876,0.9319997600864364,0.3102499842643738,1.1645220163179646,11.700778546979372,57.5869711191348,0.5826840739361818,0.5826840739361818,0.4160716567019265,14.200807111212068,9.984852713603168,12.738228570982317,4.724984483279108,71.07259328043533,49,182644
DLinear,global,240,0.8772092456237482,0.4488740563392639,1.5450704818994068,17.565953853389644,77.21901538910626,0.5490314125944394,0.8731550751549423,0.4515097737312317,1.5703700420407951,17.027803123159664,76.40773249556338,0.6067580668574509,0.6067580668574509,0.3923854068870866,22.12733512296281,13.466710457092612,23.0702035955184,6.09709203761662,134.4140628779325,48,176814
DLinear,sequential,5,0.9955689768901336,0.071079172194004,0.3021244180079494,2.754960587690625,15.226647752881586,0.5031952821938696,0.9958956952147492,0.0647414922714233,0.2907727014882889,2.3841450133781903,14.636832735151907,0.5242177831834671,0.5242177831834671,0.4706217900031336,3.058993623798063,2.394664424162435,2.0514579324656665,1.1580067314322484,10.593508257498463,49,188279
DLinear,sequential,20,0.9851614351940876,0.1336771994829177,0.5514964607190913,5.2461508496052405,27.45211450807243,0.5041171888724798,0.9857853705156427,0.1236106753349304,0.5397772266346431,4.613674850030936,26.76653607241634,0.5421106513671459,0.5421106513671459,0.4549377746022267,5.975698263827916,4.312776308585035,4.521955445394648,2.1011861666836107,23.09525963305557,49,187544
DLinear,sequential,60,0.9631824816965612,0.2273758053779602,0.8636661206713233,8.931232923126531,43.57951523962619,0.5018296708877523,0.9625411702810412,0.2159917652606964,0.8711555698508572,8.143771107013771,43.52467731065202,0.5621299070322154,0.5621299070322154,0.4361051240049429,10.520041371312969,7.2543587200213295,8.803350638627977,3.403871224553424,45.793882386474735,49,185584
DLinear,sequential,120,0.932731127653783,0.319175660610199,1.1582426479344217,12.876653584190446,58.93965275821537,0.5344254084134913,0.9319997600864364,0.3102499842643738,1.1645220163179646,11.700778546979372,57.5869711191348,0.5826840739361818,0.5826840739361818,0.4160716567019265,16.127835066937322,10.176113660380317,15.588728658802411,4.706506380142013,83.29872855954191,49,182644
DLinear,sequential,240,0.868566966408288,0.4648549556732178,1.5985187170551476,18.556990922888527,78.43452304179525,0.5388139105974,0.8731550751549423,0.4515097737312317,1.5703700420407951,17.027803123159664,76.40773249556338,0.6067580668574509,0.6067580668574509,0.3923854068870866,24.174998027815715,13.546753235347156,26.48194944005623,6.018124625878869,147.98668915754612,48,176814
