Model,Method,Horizon,Strategy_Sharpe_pooled_overlap,Strategy_Sharpe_pooled_nonoverlap,Strategy_Sharpe_mean_per_stock,Strategy_Sharpe_median_per_stock,Strategy_Sharpe_std_per_stock,Strategy_MDD_pooled,Strategy_MDD_median_per_stock,Strategy_MDD_mean_per_stock,HitRate_mean_per_stock,Naive_Sharpe_pooled_overlap,Naive_Sharpe_pooled_nonoverlap,Naive_Sharpe_median_per_stock,Naive_MDD_pooled,Naive_MDD_median_per_stock,N_Test_Samples,N_Stocks_Used
DLinear,sequential,5,0.18863253198277624,0.1935903964778536,0.2348537917175314,0.18871439155934705,0.40561913452579273,0.9996382492853372,0.6993681847114577,0.6684767937992854,0.5105672045382346,0.34518224144416004,0.34759428662268615,0.38887905458197364,0.9997737649244308,0.5979236359709554,188279,49
DLinear,sequential,20,0.06746702459316568,0.06357578849554062,0.10337947847119788,0.01310956175855928,0.4207179942274257,0.9999999999948375,0.8232931353178538,0.7247489470920366,0.5020710254282783,0.3463125647463728,0.34646129453255803,0.3909187107296134,0.9997869598617193,0.5778901028575438,187544,49
DLinear,sequential,60,-0.0007402778296401939,0.013270902879319901,0.05783798966235985,0.025477540341150205,0.4317530018125242,1.0,0.7709093484375812,0.7023810960944417,0.49304039769826824,0.33333562395175287,0.3367555574619022,0.3881642029383557,0.9997910892900058,0.5102381351283234,185584,49
DLinear,sequential,120,0.1705892704579042,0.1870316169105125,0.23118336329739456,0.2338113531630846,0.2608882869557456,0.9999858606669934,0.6290866104849776,0.6041066598040842,0.5649577120165077,0.31929169633357185,0.33902003361752103,0.39452955387984623,0.9997728687598909,0.4659999726652492,182644,49
DLinear,sequential,240,0.12982888742612086,0.14820396455024357,0.2477119575976535,0.16154035134283756,0.45493661711212374,0.9999999999791679,0.6009122805216631,0.5903184171104497,0.5621616067613723,0.2803968067213669,0.334521360958789,0.36142476208792446,0.9998670187574792,0.42188747968993917,176814,48
DLinear,global,5,0.3200917320256365,0.3368505665887672,0.4868313164412683,0.43278951348662353,0.3992965888095436,0.9993623295991881,0.6088000598524365,0.5994767492583608,0.5205057119242341,0.34518224144416004,0.34759428662268615,0.38887905458197364,0.9997737649244308,0.5979236359709554,188279,49
DLinear,global,20,0.1900044480986779,0.2184289488467486,0.2467645175847717,0.2852441077385156,0.31959166703780717,0.9994265717128753,0.6592653633078844,0.6392248814393922,0.5217583256897432,0.3463125647463728,0.34646129453255803,0.3909187107296134,0.9997869598617193,0.5778901028575438,187544,49
DLinear,global,60,0.14010895037752338,0.14291431392105955,0.23203800558111629,0.17023508393848985,0.470839056806156,0.9999445638360894,0.622689448937113,0.6154731616665539,0.5334879727241284,0.33333562395175287,0.3367555574619022,0.3881642029383557,0.9997910892900058,0.5102381351283234,185584,49
DLinear,global,120,0.03541105750341622,0.0539741078779803,0.03637889900076172,0.09081896156145483,0.32434997816454325,0.999999999999994,0.7594840913824343,0.683914815967086,0.4945040288660963,0.31929169633357185,0.33902003361752103,0.39452955387984623,0.9997728687598909,0.4659999726652492,182644,49
DLinear,global,240,0.11561091988766593,0.12756468401156806,0.1751506794202071,0.1478259437079048,0.3103004554924859,0.9999999999999002,0.6267402226620029,0.6081047095394406,0.5441079432196275,0.2803968067213669,0.334521360958789,0.36142476208792446,0.9998670187574792,0.42188747968993917,176814,48
