Model,Method,Horizon,R2,MAE,RMSE,MAE_USD,RMSE_USD,DirAcc,Naive_R2,Naive_MAE,Naive_RMSE,Naive_MAE_USD,Naive_RMSE_USD,Const_DirAcc,Pct_Up,Pct_Down,PerStock_MeanMAPE,PerStock_MedianMAPE,PerStock_StdMAPE,PerStock_MinMAPE,PerStock_MaxMAPE,N_Stocks,N_Test_Samples
GCFormer,sequential,5,0.9941164100947024,0.08650687336921692,0.3481408823900156,3.644153527375409,18.357051627605898,0.5324082230600606,0.9958956952147493,0.06474149227142334,0.29077270148828893,2.3841450133781903,14.636832735151907,0.5242177831834671,0.5242177831834671,0.47062179000313364,4.52020788574504,2.7884272987835987,4.826269097867394,1.3784101683689993,26.379244804780093,49,188279
GCFormer,sequential,20,0.9790656113115559,0.1672390103340149,0.6550537514289371,6.955655735389857,34.17936468458386,0.5269942930240555,0.9857853705156429,0.12361067533493042,0.5397772266346431,4.613674850030936,26.76653607241634,0.5421106513671459,0.5421106513671459,0.4549377746022267,8.464064989003667,5.327047395314191,9.326642968068976,2.5708025483755605,50.30002143034178,49,187544
GCFormer,sequential,60,0.922611361270577,0.3093342185020447,1.252152496983456,13.368107074401259,62.819969378921314,0.5241732024265102,0.9625411702810412,0.2159917652606964,0.8711555698508572,8.143771107013771,43.52467731065202,0.5621299070322154,0.5621299070322154,0.43610512400494295,16.686272148258126,9.462189534588783,21.52167233541748,4.639746206833575,115.45918557630159,49,185584
GCFormer,sequential,120,0.8928761137458245,0.4093650281429291,1.4616239026612867,16.855083804045808,73.85219160697893,0.5382759778673458,0.9319997600864363,0.3102499842643738,1.1645220163179646,11.700778546979373,57.586971119134795,0.5826840739361818,0.5826840739361818,0.41607165670192653,23.27342932403312,12.713201486930414,28.18602606757545,5.937732543351058,152.9383804056288,49,182644
GCFormer,sequential,240,0.8125492939947958,0.5900774002075195,1.9090134648307302,24.985474270822007,99.7877610816049,0.5732869772227952,0.8731550751549423,0.4515097737312317,1.5703700420407953,17.027803123159664,76.40773249556338,0.6067580668574509,0.6067580668574509,0.3923854068870866,38.238174046123085,19.981539229137987,48.85696967386342,7.950088477028785,256.5482516318352,48,176814
