stock_close_max,n_samples,n_nonoverlap_trades,sharpe_strategy_overlap,sharpe_naive_overlap,sharpe_strategy,sharpe_naive,mdd_strategy,mdd_naive,hit_rate,mean_strat_return,mean_naive_return,Model,Method,Horizon
5.1495537757873535,4918,984,0.3472540993872173,0.8612899756710932,0.32833694222457593,0.862680299213763,0.8422863032582745,0.7357054038044184,0.532967032967033,0.0025167648059658634,0.006204263066126396,iTransformer,sequential,5
7.011218070983887,7295,1459,0.017458275288033172,0.2560060552631744,-0.06974445131575356,0.2584243363783065,0.996672618820768,0.895782879332479,0.5220517074519563,0.0003582521128615552,0.005249969075625814,iTransformer,sequential,5
9.46875,4922,985,0.7908182645067773,0.6259577214656538,0.7220221771910988,0.6193768737936267,0.49145597786486694,0.5086871707713538,0.5365506006923234,0.004113542947624359,0.0032634790351613236,iTransformer,sequential,5
9.885000228881836,2630,526,0.300135877540804,1.290478189501453,0.5241534434978299,1.2966541907632572,0.7407089824616918,0.6369376489503156,0.5226839496759436,0.0026590393837341918,0.011258583107095184,iTransformer,sequential,5
11.28125,7295,1459,0.456522785453707,0.3558029491662174,0.4257139530861578,0.3541435635713963,0.7717713468358269,0.567598534859701,0.5390980554406288,0.001914075545647002,0.0014929922324640606,iTransformer,sequential,5
14.550874710083008,7295,1459,0.45619913952490543,0.35876189371806594,0.42613334818551296,0.36144788515650367,0.9251009640882242,0.6676217914996241,0.5322291235334714,0.0026231572908694046,0.0020645110493769585,iTransformer,sequential,5
15.404823303222656,5012,1003,0.6482340958495665,0.3692062651263543,0.5676915439901975,0.3657150486011616,0.7024920859738084,0.8012599624683443,0.5348512083083683,0.004770211398407895,0.0027245293936444433,iTransformer,sequential,5
17.70833396911621,5012,1003,0.737420354446648,0.3892121067343119,0.7531579187431231,0.3809921300225466,0.6991327354935637,0.5889135659771427,0.5333868056948065,0.0037448068414201036,0.0019841734366178934,iTransformer,sequential,5
20.03125,6301,1261,0.8954343149212689,0.46985348373792973,1.091809697719978,0.4695168778981325,0.5184570940335305,0.7299379278875012,0.5493159401845371,0.005801069912532212,0.003061367672527019,iTransformer,sequential,5
20.09375,7295,1459,0.7722200676623372,0.38937989733186174,0.6653981192928548,0.38887905458197364,0.5674557854831599,0.5979236359709557,0.5506826644600745,0.003839998452032937,0.0019447584240739782,iTransformer,sequential,5
20.125,5995,1199,0.8678113491147897,0.30272987135537976,0.8795191649975856,0.3050387011426839,0.45396296948472115,0.7836683427406625,0.5582174568604457,0.005955219241435357,0.0020910016515745793,iTransformer,sequential,5
23.8700008392334,3514,703,0.39862497997816304,0.48102933535227743,0.2507754326460641,0.48787095216137827,0.39429860499388725,0.5356938123007005,0.516248574686431,0.0020621710570977755,0.0024866836874337587,iTransformer,sequential,5
24.783248901367188,2671,535,0.08398139383231562,0.3432814984020591,0.354550033800384,0.3420284150597075,0.6054335739299717,0.5242080851640443,0.5118198874296436,0.0004812837297519716,0.0019651313227912488,iTransformer,sequential,5
25.735807418823242,4786,958,0.7737791054456472,0.3691164349166862,0.9775523764613685,0.3678047369553352,0.5453919288886052,0.6906408583589193,0.5490893866443375,0.005124332502133202,0.0024556264460803014,iTransformer,sequential,5
25.75,5965,1193,0.575015630857266,0.2909446150453937,0.480770182812057,0.29530259212293375,0.4298088568523759,0.35722347327014614,0.525235531628533,0.0023799933220508868,0.001207152398325537,iTransformer,sequential,5
26.015398025512695,2791,559,0.6579885142080212,0.7352343516512219,0.6569170572543716,0.7387794073328496,0.34958432404978146,0.5653348633850135,0.5433921498019445,0.0036468096042003555,0.004070625587311054,iTransformer,sequential,5
26.125,5905,1181,0.3475153596355398,0.37341953827024255,0.39224883124896814,0.37334987070211345,0.5345812253430462,0.6343028208349981,0.5249575551782683,0.0020956076213826725,0.0022514003755197856,iTransformer,sequential,5
30.885459899902344,2640,528,2.03828296354999,0.5025832142889436,2.0203418667368718,0.4976832380091038,0.17901263983813287,0.43342956029015245,0.5993124522536287,0.008053104287212466,0.0020607605595070705,iTransformer,sequential,5
41.0,5995,1199,0.6819412008792264,0.47324900271541653,0.8078833832841089,0.47021743970866037,0.3074615466932481,0.4080683768730494,0.5441767068273092,0.0024180991729221687,0.001682087917567346,iTransformer,sequential,5
42.125,6301,1261,0.23634708839237878,0.18488666509760726,0.3775624155242887,0.18310907776552335,0.5521044246717968,0.766640340758678,0.5189490445859872,0.001212172296631797,0.0009485100422327242,iTransformer,sequential,5
