stock_close_max,n_samples,mape_pct,model,method,horizon
184.58999633789062,1897,1.3935343359207764,PatchTST,sequential,5
41.0,5995,1.5712947821960226,PatchTST,sequential,5
30.885459899902344,2640,1.6037086909636389,PatchTST,sequential,5
117.75,2614,1.7189676522423716,PatchTST,sequential,5
75.5625,5008,1.9216702335564484,PatchTST,sequential,5
11.28125,7295,1.9224278065909448,PatchTST,sequential,5
25.75,5965,1.9649228400794811,PatchTST,sequential,5
58.4375,4215,1.99810701589935,PatchTST,sequential,5
80.45999908447266,1479,2.089721793049245,PatchTST,sequential,5
108.125,5012,2.2229052119932233,PatchTST,sequential,5
20.09375,7295,2.2670031234974037,PatchTST,sequential,5
123.20999908447266,876,2.287063348216907,PatchTST,sequential,5
44.703548431396484,4546,2.295985850897171,PatchTST,sequential,5
9.46875,4922,2.2963587487985,PatchTST,sequential,5
78.0,4601,2.327712196321334,PatchTST,sequential,5
46.3125,4256,2.3353758810370273,PatchTST,sequential,5
17.70833396911621,5012,2.3457062084402858,PatchTST,sequential,5
59.5625,4255,2.3492048122402984,PatchTST,sequential,5
42.125,6301,2.502139462191286,PatchTST,sequential,5
23.8700008392334,3514,2.584984183290399,PatchTST,sequential,5
20.125,5995,2.6669982396522824,PatchTST,sequential,5
26.015398025512695,2791,2.6817557838952384,PatchTST,sequential,5
14.550874710083008,7295,2.704546370201777,PatchTST,sequential,5
26.125,5905,2.748048450791799,PatchTST,sequential,5
24.783248901367188,2671,2.780801751417035,PatchTST,sequential,5
74.875,5012,2.8722253721841695,PatchTST,sequential,5
89.65625,3527,3.023250579082963,PatchTST,sequential,5
66.22000122070312,1949,3.024411613224916,PatchTST,sequential,5
25.735807418823242,4786,3.0683810335024324,PatchTST,sequential,5
20.03125,6301,3.098781890575406,PatchTST,sequential,5
719.989990234375,1748,3.2241743680091592,PatchTST,sequential,5
7.011218070983887,7295,3.315182633833081,PatchTST,sequential,5
82.51000213623047,3558,3.315451711821459,PatchTST,sequential,5
15.404823303222656,5012,3.4058004614899717,PatchTST,sequential,5
64.56999969482422,185,3.6696800835352947,PatchTST,sequential,5
5.1495537757873535,4918,3.890907047928782,PatchTST,sequential,5
9.885000228881836,2630,4.201855849762781,PatchTST,sequential,5
50.70000076293945,1589,4.415753564862625,PatchTST,sequential,5
96.5625,4480,4.84387397415858,PatchTST,sequential,5
499.6875,5417,5.143296770004587,PatchTST,sequential,5
939.8400268554688,1723,5.222255921749593,PatchTST,sequential,5
62.95000076293945,1790,5.414991441832308,PatchTST,sequential,5
228.4499969482422,1808,5.420710583545642,PatchTST,sequential,5
47.5,5012,5.98693542052127,PatchTST,sequential,5
210.86000061035156,660,6.290347397999849,PatchTST,sequential,5
121.30000305175781,561,8.194158890319201,PatchTST,sequential,5
286.0400085449219,1192,15.607793042850263,PatchTST,sequential,5
150.08999633789062,2842,21.000844397289125,PatchTST,sequential,5
607.8067626953125,1929,30.850641543229145,PatchTST,sequential,5
