stock_close_max,n_samples,mape_pct,model,method,horizon
184.58999633789062,1897,1.3784101683689993,GCFormer,sequential,5
30.885459899902344,2640,1.4297910445277673,GCFormer,sequential,5
41.0,5995,1.585188313009887,GCFormer,sequential,5
117.75,2614,1.652379218855788,GCFormer,sequential,5
25.75,5965,1.8942597316886467,GCFormer,sequential,5
75.5625,5008,1.9085174275409431,GCFormer,sequential,5
11.28125,7295,1.935926879021343,GCFormer,sequential,5
80.45999908447266,1479,1.9698583634476519,GCFormer,sequential,5
58.4375,4215,1.9900862495507776,GCFormer,sequential,5
123.20999908447266,876,2.1969848301534713,GCFormer,sequential,5
46.3125,4256,2.215522511801337,GCFormer,sequential,5
108.125,5012,2.217389072138432,GCFormer,sequential,5
20.09375,7295,2.218879556960984,GCFormer,sequential,5
78.0,4601,2.2926411151478576,GCFormer,sequential,5
59.5625,4255,2.2974931976441844,GCFormer,sequential,5
9.46875,4922,2.3063845086209245,GCFormer,sequential,5
17.70833396911621,5012,2.442120589799214,GCFormer,sequential,5
44.703548431396484,4546,2.4680741469306096,GCFormer,sequential,5
23.8700008392334,3514,2.5857461840721485,GCFormer,sequential,5
20.125,5995,2.6227031952538815,GCFormer,sequential,5
42.125,6301,2.62481098902511,GCFormer,sequential,5
26.015398025512695,2791,2.6692621245360995,GCFormer,sequential,5
24.783248901367188,2671,2.700483882132662,GCFormer,sequential,5
89.65625,3527,2.7872207718074233,GCFormer,sequential,5
26.125,5905,2.7884272987835987,GCFormer,sequential,5
14.550874710083008,7295,2.7983392482755014,GCFormer,sequential,5
74.875,5012,2.9234950477276405,GCFormer,sequential,5
66.22000122070312,1949,2.941453358989122,GCFormer,sequential,5
20.03125,6301,2.988857122940906,GCFormer,sequential,5
25.735807418823242,4786,3.3056299174431354,GCFormer,sequential,5
82.51000213623047,3558,3.3134631936768133,GCFormer,sequential,5
64.56999969482422,185,3.319865859316509,GCFormer,sequential,5
719.989990234375,1748,3.4515497909148887,GCFormer,sequential,5
15.404823303222656,5012,3.6148643855724085,GCFormer,sequential,5
7.011218070983887,7295,3.8551469078845484,GCFormer,sequential,5
50.70000076293945,1589,3.9384278677510682,GCFormer,sequential,5
5.1495537757873535,4918,4.028787161377553,GCFormer,sequential,5
9.885000228881836,2630,4.163890096104655,GCFormer,sequential,5
228.4499969482422,1808,5.1348133300755245,GCFormer,sequential,5
96.5625,4480,5.411803465915665,GCFormer,sequential,5
62.95000076293945,1790,5.589619615629614,GCFormer,sequential,5
939.8400268554688,1723,6.167240430874254,GCFormer,sequential,5
47.5,5012,7.385975276748883,GCFormer,sequential,5
499.6875,5417,8.120280050372978,GCFormer,sequential,5
210.86000061035156,660,8.462860071350573,GCFormer,sequential,5
121.30000305175781,561,14.023647283607515,GCFormer,sequential,5
286.0400085449219,1192,14.693145187197073,GCFormer,sequential,5
150.08999633789062,2842,20.2992255561603,GCFormer,sequential,5
607.8067626953125,1929,26.379244804780093,GCFormer,sequential,5
184.58999633789062,1882,2.5708025483755605,GCFormer,sequential,20
30.885459899902344,2625,2.902544454825239,GCFormer,sequential,20
41.0,5980,2.9422011442528637,GCFormer,sequential,20
117.75,2599,3.349094423763874,GCFormer,sequential,20
25.75,5950,3.531793303729315,GCFormer,sequential,20
11.28125,7280,3.5898461239641737,GCFormer,sequential,20
75.5625,4993,3.5930866752464508,GCFormer,sequential,20
80.45999908447266,1464,3.7095797280661422,GCFormer,sequential,20
58.4375,4200,3.718746746370448,GCFormer,sequential,20
123.20999908447266,861,4.115712020871933,GCFormer,sequential,20
108.125,4997,4.153570704279627,GCFormer,sequential,20
20.09375,7280,4.180233822755103,GCFormer,sequential,20
59.5625,4240,4.310374372092479,GCFormer,sequential,20
46.3125,4241,4.312203580918802,GCFormer,sequential,20
9.46875,4907,4.334397531747407,GCFormer,sequential,20
44.703548431396484,4531,4.367533485869576,GCFormer,sequential,20
17.70833396911621,4997,4.420105168118823,GCFormer,sequential,20
78.0,4586,4.580509654671932,GCFormer,sequential,20
42.125,6286,4.638104085576153,GCFormer,sequential,20
20.125,5980,4.847365156893724,GCFormer,sequential,20
23.8700008392334,3499,4.877648208552034,GCFormer,sequential,20
14.550874710083008,7280,5.057927183826676,GCFormer,sequential,20
26.125,5890,5.096947071696681,GCFormer,sequential,20
74.875,4997,5.299635074475174,GCFormer,sequential,20
24.783248901367188,2656,5.327047395314191,GCFormer,sequential,20
26.015398025512695,2776,5.430498727425602,GCFormer,sequential,20
20.03125,6286,5.50749728093835,GCFormer,sequential,20
89.65625,3512,5.554974257047944,GCFormer,sequential,20
66.22000122070312,1934,5.725148919073787,GCFormer,sequential,20
25.735807418823242,4771,5.832413048008149,GCFormer,sequential,20
82.51000213623047,3543,6.28379003765451,GCFormer,sequential,20
15.404823303222656,4997,6.411721489132516,GCFormer,sequential,20
7.011218070983887,7280,6.615453915443446,GCFormer,sequential,20
719.989990234375,1733,6.643409855348774,GCFormer,sequential,20
64.56999969482422,170,7.571504206103874,GCFormer,sequential,20
50.70000076293945,1574,7.897612014705419,GCFormer,sequential,20
